id,created_on,last_edit,name,skill_cat_id
77,"2024-10-16 14:12:51.559059","2024-10-16 14:12:51.559067","지표분석",13
78,"2024-10-16 14:12:51.559940","2024-10-16 14:12:51.559948","데이터",13
79,"2024-10-16 14:12:51.560801","2024-10-16 14:12:51.560809","지표",13
80,"2024-10-16 14:12:51.562389","2024-10-16 14:12:51.562398","지표관리",13
81,"2024-10-16 14:12:51.563253","2024-10-16 14:12:51.563261","마케팅",13
82,"2024-10-16 14:12:51.564115","2024-10-16 14:12:51.564123","게임",13
83,"2024-10-16 14:12:51.567462","2024-10-16 14:12:51.567470","빅데이터",13
84,"2024-10-16 14:12:51.568364","2024-10-16 14:12:51.568372",dbms,13
85,"2024-10-16 14:12:51.572297","2024-10-16 14:12:51.572305","AWS S3",2
86,"2024-10-16 14:12:51.573152","2024-10-16 14:12:51.573161",athena,13
87,"2024-10-16 14:12:51.574821","2024-10-16 14:12:51.574829",Mlflow,13
88,"2024-10-16 14:12:51.575680","2024-10-16 14:12:51.575689",triton,13
89,"2024-10-16 14:12:51.576531","2024-10-16 14:12:51.576540",sagemaker,13
90,"2024-10-16 14:12:51.579264","2024-10-16 14:12:51.579273","금융권",13
91,"2024-10-16 14:12:51.580141","2024-10-16 14:12:51.580149","데이터 분석",13
92,"2024-10-16 14:12:51.583369","2024-10-16 14:12:51.583378",elasticsearch,13
93,"2024-10-16 14:12:51.591269","2024-10-16 14:12:51.591278","문제해결능력",13
94,"2024-10-16 14:12:51.593574","2024-10-16 14:12:51.593582",Tableau,13
95,"2024-10-16 14:12:51.598769","2024-10-16 14:12:51.598777",Algorithm,13
96,"2024-10-16 14:12:51.617753","2024-10-16 14:12:51.617762",hadoop,13
97,"2024-10-16 14:12:51.625156","2024-10-16 14:12:51.625164","인공지능",13
98,"2024-10-16 14:12:51.626705","2024-10-16 14:12:51.626713",ml,13
99,"2024-10-16 14:12:51.631332","2024-10-16 14:12:51.631341",Scikit-learn,10
100,"2024-10-16 14:12:51.642219","2024-10-16 14:12:51.642227","google analytics",13
101,"2024-10-16 14:12:51.643094","2024-10-16 14:12:51.643102",amplitude,13
102,"2024-10-16 14:12:51.646116","2024-10-16 14:12:51.646124",firebase,13
103,"2024-10-16 14:12:51.673266","2024-10-16 14:12:51.673275",Ethereum,15
104,"2024-10-16 14:12:51.674142","2024-10-16 14:12:51.674151","POWER BI",13
105,"2024-10-16 14:12:51.684945","2024-10-16 14:12:51.684954",Cloud,13
106,"2024-10-16 14:12:51.702070","2024-10-16 14:12:51.702078","전략수립",13
107,"2024-10-16 14:12:51.704837","2024-10-16 14:12:51.704845","데이터 분석 능력",13
108,"2024-10-16 14:12:51.705700","2024-10-16 14:12:51.705708","수학적 사고",13
109,"2024-10-16 14:12:51.707281","2024-10-16 14:12:51.707289","컴퓨터 및 소프트웨어 이해도",13
110,"2024-10-16 14:12:51.712871","2024-10-16 14:12:51.712879","데이터과학자",13
111,"2024-10-16 14:12:51.720966","2024-10-16 14:12:51.720974",BI,13
112,"2024-10-16 14:12:51.726867","2024-10-16 14:12:51.726876",MongoDB,6
113,"2024-10-16 14:12:51.727740","2024-10-16 14:12:51.727749",RDB,13
114,"2024-10-16 14:12:51.743592","2024-10-16 14:12:51.743601",Kubernetes,14
115,"2024-10-16 14:12:51.745868","2024-10-16 14:12:51.745877",CSP,13
116,"2024-10-16 14:12:51.750859","2024-10-16 14:12:51.750867",chatGPT,13
117,"2024-10-16 14:12:51.753136","2024-10-16 14:12:51.753144","GDC 인프라",13
118,"2024-10-16 14:12:51.761727","2024-10-16 14:12:51.761736","Ms Excel",13
119,"2024-10-16 14:12:51.766106","2024-10-16 14:12:51.766114",communication,13
120,"2024-10-16 14:12:51.766965","2024-10-16 14:12:51.766973",Presentation,13
121,"2024-10-16 14:12:51.771041","2024-10-16 14:12:51.771049","영어",13
122,"2024-10-16 14:12:51.779773","2024-10-16 14:12:51.779782","adobe analytics",13
123,"2024-10-16 14:12:51.780678","2024-10-16 14:12:51.780686",QA,13
124,"2024-10-16 14:12:51.781573","2024-10-16 14:12:51.781582","태깅",13
125,"2024-10-16 14:12:51.784249","2024-10-16 14:12:51.784257",ga,13
126,"2024-10-16 14:12:51.785130","2024-10-16 14:12:51.785138",AA,13
127,"2024-10-16 14:12:51.790832","2024-10-16 14:12:51.790841","데이터베이스",13
128,"2024-10-16 14:12:51.806683","2024-10-16 14:12:51.806691","구글 스프레드 시트",13
129,"2024-10-16 14:12:51.807549","2024-10-16 14:12:51.807557","엑셀",13
130,"2024-10-16 14:12:51.820790","2024-10-16 14:12:51.820799",Kafka,4
131,"2024-10-16 14:12:51.825214","2024-10-16 14:12:51.825222","GCP BigQuery",13
132,"2024-10-16 14:12:51.836913","2024-10-16 14:12:51.836922","빅데이터분석",13
