id,created_on,last_edit,link,title,experience_level,is_new,deadline,collected_on,company_id,platform_id
26,"2024-10-16 14:12:51.462298","2024-10-16 14:25:12.822641",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1278636,"AI Language Model Engineer","경력무관",0,"2025-01-01 00:00:00","2024-10-15 00:00:00",9,2
27,"2024-10-16 14:12:51.468268","2024-10-16 14:25:12.829581",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1278565,"Research Scientist (Medical AI)","경력",0,"2024-12-02 00:00:00","2024-10-15 00:00:00",11,2
28,"2024-10-16 14:12:51.471581","2024-10-16 14:25:12.833208",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283089,"데이터 엔지니어","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",24,2
29,"2024-10-16 14:12:51.479836","2024-10-16 14:25:12.956071",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1270640,"데이터 엔지니어","경력",0,"2024-10-26 00:00:00","2024-10-15 00:00:00",16,2
30,"2024-10-16 14:12:51.483683","2024-10-16 14:25:12.845752",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1276447,"Machine Learning Engineer (전문연구요원), R&D","경력",0,"2024-12-13 00:00:00","2024-10-15 00:00:00",17,2
31,"2024-10-16 14:12:51.488420","2024-10-16 14:25:12.854668",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282238,"Data Scientist","경력무관",0,"2024-11-12 00:00:00","2024-10-15 00:00:00",25,2
32,"2024-10-16 14:12:51.494575","2024-10-16 14:25:12.861544",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280545,"AI 컴파일러 엔지니어 (전문연구요원 가능) ","경력무관",0,"2025-01-04 00:00:00","2024-10-15 00:00:00",26,2
33,"2024-10-16 14:12:51.499408","2024-10-16 14:25:12.866978",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280951,"시니어 데이터 사이언티스트","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",27,2
34,"2024-10-16 14:12:51.504870","2024-10-16 14:25:12.873377",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1278632,"Robot Perception Engineer","경력무관",0,"2025-01-01 00:00:00","2024-10-15 00:00:00",9,2
35,"2024-10-16 14:12:51.510771","2024-10-16 14:25:12.880387",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1278094,"Staff Machine Learning Engineer","경력",0,"2024-12-27 00:00:00","2024-10-15 00:00:00",18,2
36,"2024-10-16 14:12:51.516081","2024-10-16 14:25:12.886621",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269614,"Data Analyst(Team Lead)","경력",0,"2025-01-02 00:00:00","2024-10-15 00:00:00",4,2
37,"2024-10-16 14:12:51.523711","2024-10-16 14:25:12.895063",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1276603,"Senior/Staff Data Scientist - Growth Analytics","경력",0,"2024-11-13 00:00:00","2024-10-15 00:00:00",18,2
38,"2024-10-16 14:12:51.531619","2024-10-16 14:25:13.096335",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282626,"Data Analyst","경력",0,"2025-01-12 00:00:00","2024-10-15 00:00:00",15,2
39,"2024-10-16 14:12:51.534269","2024-10-16 14:25:12.912908",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284153,"데이터 사이언티스트 (리드)","경력",0,"2025-01-08 00:00:00","2024-10-15 00:00:00",28,2
40,"2024-10-16 14:12:51.538363","2024-10-16 14:25:13.099186",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1277398,"Data Analyst","경력",0,"2024-11-26 00:00:00","2024-10-15 00:00:00",19,2
41,"2024-10-16 14:12:51.542760","2024-10-16 14:25:12.850898",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282016,"마케팅 Data Analyst (Junior)","경력",0,"2025-01-06 00:00:00","2024-10-15 00:00:00",29,2
42,"2024-10-16 14:12:51.546519","2024-10-16 14:25:12.917437",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282421,"D2C Commerce Manager","경력",0,"2024-11-13 00:00:00","2024-10-15 00:00:00",30,2
43,"2024-10-16 14:12:51.552520","2024-10-16 14:25:12.923306",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280546,"Runtime 소프트웨어 엔지니어 (전문연구요원 가능)","경력무관",0,"2025-01-04 00:00:00","2024-10-15 00:00:00",26,2
44,"2024-10-16 14:12:51.557938","2024-10-16 14:25:12.929788",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282533,"[UA팀] 모바일게임 데이터 분석가 (주니어)","경력",0,"2024-11-18 00:00:00","2024-10-15 00:00:00",31,2
45,"2024-10-16 14:12:51.565724","2024-10-16 14:25:12.810537",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1281438,"DBA(5년 이상)","경력",0,"2024-12-05 00:00:00","2024-10-15 00:00:00",32,2
46,"2024-10-16 14:12:51.570703","2024-10-16 14:25:12.948418",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284276,"[광고 추천팀]ML Engineer/머신러닝 엔지니어 (신입, 병역특례요원 가능)","경력무관",0,"2025-01-12 00:00:00","2024-10-15 00:00:00",33,2
47,"2024-10-16 14:12:51.578129","2024-10-16 14:25:12.970550",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1277827,"SAS 기반 데이터처리 전문가(경력 4년 이상)","경력",0,"2024-12-31 00:00:00","2024-10-15 00:00:00",34,2
48,"2024-10-16 14:12:51.581786","2024-10-16 14:25:12.960827",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280816,"빅데이터 솔루션 데이터 엔지니어(경력) 모집","경력",0,"2024-11-09 00:00:00","2024-10-15 00:00:00",35,2
49,"2024-10-16 14:12:51.590142","2024-10-16 14:25:12.792790",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1274059,"Data Analyst","경력",0,"2024-10-17 00:00:00","2024-10-15 00:00:00",17,2
50,"2024-10-16 14:12:51.595908","2024-10-16 14:25:12.977842",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282641,"[Metheus] Research Engineer - CO","경력무관",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",36,2
51,"2024-10-16 14:12:51.601124","2024-10-16 14:25:13.005663",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273377,"브이캣 딥러닝 엔지니어","경력무관",0,"2024-11-08 00:00:00","2024-10-15 00:00:00",37,2
52,"2024-10-16 14:12:51.605742","2024-10-16 14:25:13.011103",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1277397,"Data Analytics Engineer","경력",0,"2024-11-26 00:00:00","2024-10-15 00:00:00",19,2
53,"2024-10-16 14:12:51.610269","2024-10-16 14:25:13.075908",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1281227,"마케팅 Data Analyst (Middle)","경력",0,"2025-01-06 00:00:00","2024-10-15 00:00:00",29,2
54,"2024-10-16 14:12:51.613635","2024-10-16 14:25:13.023569",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280855,"데이터 엔지니어","경력무관",0,"2025-04-07 00:00:00","2024-10-15 00:00:00",38,2
55,"2024-10-16 14:12:51.621410","2024-10-16 14:25:13.031860",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284040,"MLOps Engineer (LLM)","경력",0,"2025-01-05 00:00:00","2024-10-15 00:00:00",11,2
56,"2024-10-16 14:12:51.624036","2024-10-16 14:25:13.034699",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1275872,"ML Researcher (머신러닝 연구원)","경력무관",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",39,2
57,"2024-10-16 14:12:51.628306","2024-10-16 14:22:07.404708",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282193,"AI/빅데이터 분야 데이터 사이언티스트","경력",0,"2024-10-30 00:00:00","2024-10-15 00:00:00",40,2
58,"2024-10-16 14:12:51.637736","2024-10-16 14:25:12.974277",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282385,"제품 Data Analyst (Senior)","경력",0,"2025-01-06 00:00:00","2024-10-15 00:00:00",29,2
59,"2024-10-16 14:12:51.641088","2024-10-16 14:25:13.016426",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1281663,"데이터 분석가","경력",0,"2024-11-21 00:00:00","2024-10-15 00:00:00",41,2
60,"2024-10-16 14:12:51.647606","2024-10-16 14:25:13.071226",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282808,"Data Analyst(Jr)","경력",0,"2024-11-26 00:00:00","2024-10-15 00:00:00",19,2
61,"2024-10-16 14:12:51.651541","2024-10-16 14:25:13.038320",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284039,"NLP Enigneer (LLM)","경력",0,"2025-01-05 00:00:00","2024-10-15 00:00:00",11,2
62,"2024-10-16 14:12:51.654170","2024-10-16 14:25:12.937974",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282096,"Data Engineer","경력",0,"2024-11-05 00:00:00","2024-10-15 00:00:00",42,2
63,"2024-10-16 14:12:51.663595","2024-10-16 14:25:12.995052",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283435,"Data Analyst(경력 7년 이상)","경력",0,"2024-10-18 00:00:00","2024-10-15 00:00:00",43,2
64,"2024-10-16 14:12:51.668157","2024-10-16 14:25:13.045872",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282390,"제품 Data Analyst (Middle)","경력",0,"2025-01-06 00:00:00","2024-10-15 00:00:00",29,2
65,"2024-10-16 14:12:51.671319","2024-10-16 14:25:13.053768",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280858,"Onchain Data Analyst (퀀트 리서처)","경력무관",0,"2025-04-07 00:00:00","2024-10-15 00:00:00",38,2
66,"2024-10-16 14:12:51.678588","2024-10-16 14:25:13.041106",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273524,"디지털헬스케어 AI 엔지니어 (병역특례 가능)","경력무관",0,"2024-11-08 00:00:00","2024-10-15 00:00:00",20,2
67,"2024-10-16 14:12:51.682645","2024-10-16 14:25:13.049438",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280912,"Head of Credit Risk and Data","경력",0,"2025-01-08 00:00:00","2024-10-15 00:00:00",44,2
68,"2024-10-16 14:12:51.686592","2024-10-16 14:25:13.061541",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273395,"Data Scientist (경력 3년~)","경력무관",0,"2024-11-08 00:00:00","2024-10-15 00:00:00",45,2
69,"2024-10-16 14:12:51.695952","2024-10-16 14:25:13.079420",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1279482,"[윌로그] 데이터 분석 담당자 (3년 이상)","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",22,2
70,"2024-10-16 14:12:51.703699","2024-10-16 14:25:13.103456",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1279413,"AI Engineer","경력무관",0,"2024-12-11 00:00:00","2024-10-15 00:00:00",46,2
71,"2024-10-16 14:12:51.709110","2024-10-16 14:25:13.087223",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273316,"Senior Data Scientist - Ads Performance","경력",0,"2024-11-08 00:00:00","2024-10-15 00:00:00",18,2
72,"2024-10-16 14:12:51.717879","2024-10-16 14:25:13.109836",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282345,"Marketing Data Scientist","경력무관",0,"2024-11-19 00:00:00","2024-10-15 00:00:00",25,2
73,"2024-10-16 14:12:51.724586","2024-10-16 14:25:13.117314",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1279411,"Data Engineer","경력",0,"2024-12-11 00:00:00","2024-10-15 00:00:00",46,2
74,"2024-10-16 14:12:51.732389","2024-10-16 14:25:13.000413",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283924,"Data Analyst","경력",0,"2025-01-09 00:00:00","2024-10-15 00:00:00",4,2
75,"2024-10-16 14:12:51.737012","2024-10-16 14:25:13.125629",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283913,"데이터 분석가(3년 이상)","경력",0,"2024-12-31 00:00:00","2024-10-15 00:00:00",33,2
76,"2024-10-16 14:12:51.742444","2024-10-16 14:25:13.135608",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282585,"ML(Data) Engineer","경력",0,"2024-11-19 00:00:00","2024-10-15 00:00:00",47,2
